epoch,train_loss,train_rmse,val_rmse,learning_rate
1,0.7837910676995913,36798.203507147795,44790.965684314775,0.00032443963652860884
2,0.33539461344480515,31185.902603136932,40437.702097244386,0.00032443963652860884
3,0.2515302635729313,27416.902344217102,35187.377228767415,0.00032443963652860884
4,0.28909999194244546,25148.97243778618,36421.00612078403,0.00032443963652860884
5,0.1715356738617023,23246.033120423075,36586.947990669614,0.00032443963652860884
6,0.18635967932641506,22575.583619405894,35890.468402173,0.00032443963652860884
7,0.19368469280501208,21824.733315228168,37834.171422370775,0.00032443963652860884
8,0.13113799194494882,19536.291998746554,36122.57276219266,0.00032443963652860884
9,0.1280894267062346,19678.862965308155,35413.3500717346,0.00032443963652860884
10,0.13190375237415233,18455.351738691043,34661.475245430905,0.00032443963652860884
11,0.144163828343153,19758.574880707354,38008.03957247806,0.00032443963652860884
12,0.12638797673086324,16612.973745837953,34044.8999320272,0.00032443963652860884
13,0.1285093662639459,19691.866736714015,37279.83637441389,0.00032443963652860884
14,0.12070946333309014,15846.066868138294,34034.90227591437,0.00032443963652860884
15,0.12079998850822449,17340.019605965066,35960.49347073293,0.00032443963652860884
16,0.10165734495967627,14864.350773158574,34192.745526763,0.00032443963652860884
17,0.09713304104904334,14325.68348767595,33663.42943918045,0.00032443963652860884
18,0.10097935982048512,15724.911975328134,37095.273793010194,0.00032443963652860884
19,0.09275282360613346,13397.886822724031,34764.77873971074,0.00032443963652860884
20,0.08667371173699696,13475.371243024061,34404.64712518448,0.00032443963652860884
21,0.07751247224708398,13119.81190711436,32890.561640580476,0.00032443963652860884
22,0.0767728794987003,14277.91568026247,36574.22618350617,0.00032443963652860884
23,0.0789121612906456,13583.271606506933,37038.00620556544,0.00032443963652860884
24,0.08658131211996078,13465.172941865534,37575.79870572751,0.00032443963652860884
25,0.08907398271063964,13524.79286742244,35965.38338026997,0.00032443963652860884
26,0.08189477088550727,12725.423599636913,36246.74359592494,0.00032443963652860884
27,0.08252105644593637,11960.25066054216,35866.289781022846,0.00032443963652860884
28,0.06544334689776103,11676.121192510283,35124.43183287537,0.00032443963652860884
29,0.06504576653242111,11322.289836196218,34594.461303414784,0.00032443963652860884
30,0.0615057743464907,11376.35689846944,35198.48771090592,0.00032443963652860884
