epoch,train_loss,train_rmse,val_rmse,learning_rate
1,30.641473333040874,1557597416.0237134,35114214096.20526,0.0003448178439164303
2,6.491901646057765,181542.15249768767,7862585.459967627,0.0003448178439164303
3,12.131103297074636,61070739.6614988,7273198965.631346,0.0003448178439164303
4,5.113563155134519,1032900.9100807345,173268290.37880698,0.0003448178439164303
5,4.241768976052602,933519.8976153686,1005257245.7243204,0.0003448178439164303
6,9.356086174647013,70032.27499405773,786772.8515121395,0.0003448178439164303
7,6.988059918085734,5094595.58746018,1504871387.157011,0.0003448178439164303
8,4.321585888663928,55389.74969655229,2500983.4525462096,0.0003448178439164303
9,2.663847597936789,63374.953455942654,18959205.352093138,0.0003448178439164303
10,8.867377678553263,47828.891987607865,1374018.7772714768,0.0003448178439164303
11,4.63310839732488,244288.50664466794,7015455.52375257,0.0003448178439164303
12,7.146585961182912,597878.6786151419,70127078.34725988,0.0003448178439164303
13,4.044795736670494,52274.468400478,157272.51152587327,0.0003448178439164303
14,4.878306915362676,483216.57600671216,65485490.96929552,0.0003448178439164303
15,2.7366369565327964,86992.40740210103,2405848.6829479528,0.0003448178439164303
16,3.4040324514110885,527277.3261604568,2607590.544161638,0.0003448178439164303
17,6.095013017455737,62996.39684975762,885576.2999691362,0.0003448178439164303
18,4.390507623553276,50918.241353374186,1197842.446979188,0.0003448178439164303
19,4.966935195028782,141388.91722262482,1799103.525026994,0.0003448178439164303
20,4.822804952661197,507843.58604216145,11354873.963835154,0.0003448178439164303
21,3.8157494043310485,41465.14489743489,649649.177287901,0.0003448178439164303
22,3.9910164500276246,76524.82412935971,360347.82875759783,0.0003448178439164303
23,4.179477900266647,77952.85099942242,1215296.324806679,0.0003448178439164303
24,13.831556618213654,87361.09251188945,674815.3356299064,0.0003448178439164303
25,1.876206745704015,35072.817727371395,312686.33131243166,0.00017240892195821516
26,12.002280568083128,69598.67314119346,604734.6959784778,0.00017240892195821516
27,3.7141466637452445,43098.457705723515,914804.8184136647,0.00017240892195821516
28,4.864851991335551,40134.462366046646,350586.3301575542,0.00017240892195821516
29,3.8828002413113913,149388.41233432762,1760572.0339729656,0.00017240892195821516
30,3.6595437501867614,47174.363886483785,593518.9117340331,0.00017240892195821516
31,3.587024189531803,30144.601405928428,606657.4382189097,0.00017240892195821516
32,3.6338777045408883,44960.35351345703,897399.3267019399,0.00017240892195821516
33,4.341364463170369,43713.01456913942,1666442.4594716688,0.00017240892195821516
34,3.8428565015395484,29820.593979700454,754854.7574100541,0.00017240892195821516
35,2.42155492802461,102523.52182919088,774154.577122319,0.00017240892195821516
36,2.625499294449886,31111.45153889436,479237.4233031616,8.620446097910758e-05
37,3.9091919834415116,25689.79510625892,819520.1184965126,8.620446097910758e-05
38,2.6281373302141824,30168.141688091884,1109061.5253996141,8.620446097910758e-05
39,2.293122568478187,201280.85164975718,2229802.682289374,8.620446097910758e-05
40,4.169588377078374,285204.19955643686,3028033.1933509875,8.620446097910758e-05
41,2.7853403439124427,36481.291179307715,547537.6239853855,8.620446097910758e-05
42,4.942150235176086,30769.42369885732,658888.7934389724,8.620446097910758e-05
43,3.6111443042755127,34062.42796791929,990335.3123503856,8.620446097910758e-05
44,2.95319897433122,36293.91682545614,843659.9701585674,8.620446097910758e-05
45,1.4649544792870681,24435.536243972867,472625.56897440914,8.620446097910758e-05
46,5.723365257183711,33461.547618765995,524993.5203001405,8.620446097910758e-05
47,2.4843452436228595,25699.105304385583,643904.1260809464,4.310223048955379e-05
48,2.9450034387409687,28769.751394299918,706262.2273934665,4.310223048955379e-05
49,3.1951326007644334,23354.965964664065,742346.8991721371,4.310223048955379e-05
50,3.1547890404860177,42653.35612899793,923410.5598330428,4.310223048955379e-05
51,2.7717654332518578,119875.30544545094,1712413.749575915,4.310223048955379e-05
52,1.9124811459332705,27331.46164464338,677765.2202729465,4.310223048955379e-05
53,3.429607485731443,25817.97305126452,548989.505839849,4.310223048955379e-05
54,2.1548191656668982,29202.221672660933,580688.4932860145,4.310223048955379e-05
55,1.0393943538268406,24830.272794025386,486546.3428328159,4.310223048955379e-05
56,3.2982235588133335,31569.852682537912,455108.8048676898,4.310223048955379e-05
57,1.4471548696358998,24494.631489199637,647502.6993484072,4.310223048955379e-05
58,2.9925903317828975,23667.796567938334,760736.7742633539,2.1551115244776894e-05
59,1.4500804704924424,22932.67066790094,704321.107385718,2.1551115244776894e-05
60,1.5332641825079918,24123.11781025568,660179.5252551053,2.1551115244776894e-05
61,2.7797549789150557,26776.837786436536,626017.9868617919,2.1551115244776894e-05
62,2.9175615857044854,26067.6319403796,690339.2095754036,2.1551115244776894e-05
63,3.251032456755638,25475.891222179558,791220.041246371,2.1551115244776894e-05
