epoch,train_loss,val_loss,batch_train_loss,train_rmse,val_rmse,learning_rate
1,0.2459046095609665,0.33781212682971845,0.5281739726662635,39039.804556910094,49486.89328382107,0.001
2,0.13441972434520721,0.2248206779423851,0.20403097122907637,31763.13590679842,44935.09956083899,0.001
3,0.096168652176857,0.21114766210764394,0.12199312895536422,24762.80779242628,45349.131183427984,0.001
4,0.07223300635814667,0.20582025495063375,0.08976979479193688,21907.02823034275,46125.591835477215,0.001
5,0.04701458662748337,0.19173741543898964,0.06228020079433918,16861.640535689163,45581.16436850016,0.001
6,0.037552013993263245,0.1929981575488673,0.04618772678077221,14851.484322110478,46108.46118779913,0.001
7,0.028959093615412712,0.19200480114056911,0.03530738968402147,13777.098501630742,45803.71330273779,0.001
8,0.0237442534416914,0.19379367116544854,0.027792999520897865,12164.094030257504,45971.752327207985,0.001
9,0.020633935928344727,0.19381547568238627,0.024011560901999473,11236.683274573115,45882.81516531031,0.001
10,0.015873592346906662,0.19283050098932802,0.020564282592386008,10104.299007664646,45820.83716764328,0.001
11,0.014177773147821426,0.1935901451059528,0.016225160751491784,9456.654156937546,45887.963335084896,0.001
12,0.011545795015990734,0.19265378716263162,0.01361976508051157,8710.53422175187,45683.00087279758,0.001
13,0.009751039557158947,0.1920783593922023,0.011429499369114637,7941.045917657485,45611.17132006161,0.001
14,0.00881444662809372,0.19267490362422807,0.009778761677443982,7577.907491906489,45713.235856725936,0.0005
15,0.00827096402645111,0.19259604526139248,0.009186026593670248,7404.825680218796,45704.48103962588,0.0005
16,0.007485739421099424,0.19254906779769657,0.008131067967042327,7068.543966265273,45648.61876782796,0.0005
17,0.006878168787807226,0.1929515478403487,0.007434047944843769,6729.796962435747,45690.14594874252,0.0005
18,0.00650032376870513,0.19339187915455142,0.006825142633169889,6662.031452533617,45666.270238439414,0.0005
19,0.005998481996357441,0.19294500456425426,0.006700440240092575,6308.030946315323,45608.75744663469,0.0005
20,0.005471560172736645,0.19325978783539946,0.005964000825770199,6042.123653301403,45619.6673094051,0.0005
21,0.0050295330584049225,0.19361013978739997,0.0055187138263136145,5815.914535605852,45563.403294004915,0.0005
22,0.0046568820253014565,0.1936494360159284,0.004998965375125408,5667.830315369903,45534.75036672404,0.0005
23,0.004339883103966713,0.1936655733046548,0.005120055086445063,5410.850514781226,45569.059480607124,0.0005
24,0.004196018446236849,0.1938970144785028,0.004432223830372095,5321.373434297496,45515.89794726712,0.0005
25,0.003919290378689766,0.19422815187963108,0.004068999516312033,5198.418414662759,45570.24109234385,0.00025
26,0.0036911091301590204,0.19415605901868457,0.0038947364315390586,5014.542255000107,45553.501538186654,0.00025
27,0.0035502926912158728,0.19417411746903562,0.003729300561826676,4971.603830063926,45519.564912383124,0.00025
28,0.003424152033403516,0.19431212644595452,0.0036018071114085615,4852.55417236784,45515.16594782653,0.00025
29,0.0033081225119531155,0.19416663768450634,0.0037378408014774323,4727.306479879276,45491.69839842771,0.00025
30,0.003185034729540348,0.19429601425083942,0.0032374625559896232,4726.308907918752,45498.68152762131,0.00025
31,0.0030345262493938208,0.19439236628810713,0.0031429024762474,4574.386505813927,45483.758891423626,0.00025
32,0.0029032614547759295,0.1946392751565674,0.0030217907391488553,4488.866022878432,45512.90988946689,0.00025
