epoch,train_loss,train_rmse,val_rmse,learning_rate
1,1.0763738572597503,45654.194361509115,51154.29137857591,0.0006
2,0.4757039755582809,31224.668873122188,40467.60763298031,0.0006
3,0.3360126122832298,31615.646999190343,39943.037378117566,0.0006
4,0.2931137174367905,25439.512332279784,36092.48168100543,0.0006
5,0.21602856516838073,24635.96245285955,35581.81368404802,0.0006
6,0.2120572693645954,23721.689124858563,35163.08712923698,0.0006
7,0.19753882586956023,21139.180069986847,35101.7289510534,0.0006
8,0.171196661144495,21998.88598529447,35634.66071162165,0.0006
9,0.1806188054382801,19373.68275254122,35364.356795908345,0.0006
10,0.17536384984850883,19383.484956654956,35677.41918031491,0.0006
11,0.14374155923724174,19232.842303954167,35657.895693840655,0.0006
12,0.12248326912522316,18962.86861445609,35838.79267163148,0.0006
13,0.11139432638883591,17222.05164473914,35262.85185446836,0.0006
14,0.11175514534115791,18228.336727873822,36071.37120800581,0.0006
15,0.11410712599754333,16638.833555831672,35735.61778739171,0.0006
16,0.10411338359117508,15664.00884380092,36253.782615170785,0.0006
17,0.10344904586672783,15718.278281088438,36111.87929775383,0.0006
18,0.10681463852524757,14732.898454326336,35715.78732925693,0.0006
19,0.09063999354839325,15037.568814745619,35618.094506838934,0.0003
20,0.08261871039867401,14661.523023690657,35413.99372846584,0.0003
21,0.08593304231762885,14830.146075791048,35186.08626414767,0.0003
22,0.0851254690438509,15175.364560733491,35536.5088542873,0.0003
23,0.09267482534050941,15272.240613747119,35141.582432925694,0.0003
24,0.09880505502223969,14135.417315850249,35223.317292422034,0.0003
25,0.07906769588589668,13737.813957383541,35407.453685497036,0.0003
26,0.07991702444851398,14771.841209191116,35413.60959983388,0.0003
27,0.08543235659599305,13862.321707855564,35771.87283533646,0.0003
28,0.07558692954480647,13802.962314160743,35143.38391682795,0.0003
29,0.07654477432370185,13739.628824893152,34853.32250504246,0.0003
30,0.07625461742281914,13072.38165817579,35100.63316028792,0.0003
31,0.07250571101903916,14058.72719884547,34535.11195222894,0.0003
32,0.0759946919977665,13890.960186148493,34717.74750217735,0.0003
33,0.07756661660969258,13381.721356639511,34899.76934341437,0.0003
34,0.07188240699470043,13888.592038585928,34852.38046893621,0.0003
35,0.06625990346074104,12522.536985688002,35152.86135488539,0.0003
36,0.06093307547271252,12899.570248672055,35113.884779914806,0.0003
37,0.06598205864429474,13771.380517537194,35273.879404241576,0.0003
38,0.06840880773961544,12249.398682197763,35511.74426712963,0.0003
39,0.06803478784859181,12359.940231669698,35283.66530464756,0.0003
40,0.07093552388250828,12464.349670504002,35087.42438143707,0.0003
41,0.06553561724722386,12424.618894176007,35015.376097343724,0.0003
42,0.07103236243128777,12517.780727787036,34826.25321413031,0.0003
43,0.06463245749473571,12609.358495654602,34584.04286149381,0.00015
44,0.06834708489477634,12197.740155267114,34865.06487934461,0.00015
45,0.059692271053791046,12018.647127212798,34522.961231614536,0.00015
46,0.06099921576678753,12363.46939998318,34389.47689677831,0.00015
47,0.05693093687295914,11948.990772246263,34398.80077883502,0.00015
48,0.06307047046720982,11723.012471420156,34442.29575525748,0.00015
49,0.06327644251286983,11995.916272033533,34246.8391738073,0.00015
50,0.06422854438424111,11730.590058263613,34446.58172761709,0.00015
51,0.057057492434978485,11903.107534099421,34365.33743113768,0.00015
52,0.060452936217188835,12265.60000278513,34456.40096147101,0.00015
53,0.05811120942234993,11880.130761873212,34458.68049199462,0.00015
54,0.05678256899118424,11796.331954511275,34410.33347571282,0.00015
55,0.0589250847697258,11561.280533775003,34546.95208675565,0.00015
56,0.05554367154836655,11810.481953540577,34713.39847106302,0.00015
57,0.05527221374213696,11758.481340398546,34798.419845282195,0.00015
58,0.06667200662195683,11590.79496506629,34673.49929947407,0.00015
59,0.057727815210819246,11500.64860502786,34601.93133428208,0.00015
60,0.05860891602933407,11659.320229267303,34198.315033755614,0.00015
61,0.060956796258687974,11406.946855055849,34203.007734433326,0.00015
62,0.05844591110944748,11455.892610676005,34219.346095972374,0.00015
63,0.05584358982741833,11703.133579142512,34138.744228384225,0.00015
64,0.05291691608726978,11246.058978304694,34349.452025759376,0.00015
65,0.05036825053393841,11100.676172618336,34595.09208506633,0.00015
66,0.05907122492790222,11051.157500191126,34806.094015787574,0.00015
67,0.06281266324222087,11185.911943783089,34752.33478988646,0.00015
68,0.0586547888815403,11100.16573786833,34836.68083993152,0.00015
69,0.05422552973031998,10924.420359142328,35106.31437945007,0.00015
70,0.0455359697341919,11323.06310471184,34852.85611159906,0.00015
71,0.0562608003616333,11624.945432677798,34732.26891867419,0.00015
72,0.05310419090092182,11483.56569544928,34562.13593613562,0.00015
73,0.05677078291773796,11513.043980308363,34494.33029586905,0.00015
74,0.05124371871352196,11277.802459236158,34727.037215195014,0.00015
75,0.05274099968373776,11031.650365277872,34752.58183853383,7.5e-05
76,0.0537793442606926,11075.445593049342,34778.7300315062,7.5e-05
77,0.04691989757120609,11009.462880617451,34757.73925351044,7.5e-05
78,0.04464731831103563,11028.241704833621,34777.17642964923,7.5e-05
79,0.04504645448178053,10948.909021346657,34791.51177290741,7.5e-05
80,0.051253194361925124,10779.466097425067,34831.44443731217,7.5e-05
81,0.05715135335922241,10878.844861595153,34682.730001662894,7.5e-05
82,0.057262986153364184,11124.825609103624,34616.33796976154,7.5e-05
83,0.053040503337979314,10828.701922953862,34729.615648952335,7.5e-05
84,0.05110393725335598,10747.905404696106,34732.13194133451,7.5e-05
85,0.05316232107579708,10594.204154328601,34711.94599483022,7.5e-05
86,0.051134849712252614,10686.61376616676,34667.23908157857,3.75e-05
87,0.0492267420515418,10836.772188658671,34620.52973872846,3.75e-05
88,0.052005968242883685,11113.329811343081,34576.045754978026,3.75e-05
89,0.051877764984965324,11257.833102941051,34522.33824526246,3.75e-05
90,0.05157443881034851,10990.176775302327,34486.926436364265,3.75e-05
91,0.055672523379325864,10920.945723789986,34492.161632889954,3.75e-05
92,0.054326373338699344,10875.614380175855,34529.35994794633,3.75e-05
93,0.05481866337358952,10805.492826103877,34699.96436011324,3.75e-05
94,0.047621299512684345,10830.37276261833,34682.50293099496,3.75e-05
95,0.05107491500675678,10917.87401453876,34645.63481441633,3.75e-05
96,0.05531257428228855,10961.110066247938,34668.19975194696,3.75e-05
97,0.04513997919857502,10987.134402951406,34674.429956758904,1.875e-05
98,0.04897645674645901,10759.118986953907,34728.425146399335,1.875e-05
