epoch,train_loss,val_loss,batch_train_loss,train_rmse,val_rmse,learning_rate
1,0.35064929723739624,0.4981849259435773,0.7834106460213661,45380.60136096409,54087.01044133726,0.0006
2,0.1532192975282669,0.3147579664278487,0.4186966208120187,30095.31377457757,43135.069410571814,0.0006
3,0.1358075588941574,0.27434455523363405,0.2818269468843937,28333.754159592336,40270.804762360174,0.0006
4,0.11778850853443146,0.24298866464694802,0.217758072540164,26387.216363843505,37899.64508602609,0.0006
5,0.09852969646453857,0.23304147285156432,0.20104501582682133,24133.79999236043,37115.79300884035,0.0006
6,0.09570348262786865,0.236374913096683,0.19856911338865757,23785.155229390683,37380.303819966604,0.0006
7,0.0829630196094513,0.2499816603093212,0.1761291263004144,22145.44508359042,38441.1356999538,0.0006
8,0.07525841891765594,0.22930120999791925,0.1718502715229988,21092.093134608825,36816.738179153115,0.0006
9,0.07316617667675018,0.2324167513141665,0.14521842077374458,20796.83764948831,37066.01089194517,0.0006
10,0.07691869884729385,0.22997429354009455,0.15140757461388907,21323.480883491484,36870.733930059236,0.0006
11,0.06241469830274582,0.22879129324959513,0.1185708288103342,19208.151531276595,36775.779127777714,0.0006
12,0.0638548955321312,0.21329503760203306,0.14297441889842352,19428.49827058329,35508.51512413879,0.0006
13,0.062392860651016235,0.24511065771449886,0.11343978221217792,19204.790985136973,38064.772060040086,0.0006
14,0.06085365265607834,0.22460957953483135,0.10935740793744723,18966.42379606219,36438.14613586662,0.0006
15,0.04655241221189499,0.21011538752391337,0.10674309016515811,16588.73313654245,35242.85354222052,0.0006
16,0.05911210924386978,0.20458445327293825,0.11217482915769021,18693.058598314223,34775.90571734181,0.0006
17,0.040517229586839676,0.21331080677193112,0.11318554418782394,15476.117324466062,35509.827694429296,0.0006
18,0.038412779569625854,0.21093430812882835,0.0984341911971569,15068.846159104136,35311.465918871734,0.0006
19,0.04228232800960541,0.19821887937504984,0.09140096418559551,15809.624769330627,34230.61044355346,0.0006
20,0.037024885416030884,0.20628004277461276,0.07421413405487935,14794.115245823185,34919.719157242485,0.0006
21,0.0349021852016449,0.20698160597557047,0.08014778109888236,14363.769779679256,34979.05014018146,0.0006
22,0.02892170660197735,0.20021639373518377,0.07701439037919044,13075.372606122333,34402.65444028161,0.0006
23,0.026626581326127052,0.1985592459748985,0.07378785933057468,12545.842920160969,34259.98695722461,0.0006
24,0.02456272765994072,0.19872499503892457,0.07407107297331095,12049.81631920605,34274.283385933195,0.0006
25,0.03688221797347069,0.19559668795715543,0.06421402872850497,14765.58502339652,34003.44226455846,0.0006
26,0.033043861389160156,0.2116477352569852,0.06864997744560242,13976.149559595633,35371.13115898909,0.0006
27,0.02698521688580513,0.1942043246706264,0.07406301548083623,12630.05048362616,33882.19863958197,0.0006
28,0.026518527418375015,0.19887224387264807,0.05878849762181441,12520.360315962242,34286.97910574543,0.0006
29,0.02796240523457527,0.2044738427813101,0.06428088496128719,12856.69669550088,34766.50348753012,0.0006
30,0.02520756796002388,0.19374687621241435,0.06270901734630267,12206.962347805742,33842.27033852848,0.0006
31,0.03317761421203613,0.1949557314690072,0.058872142185767494,14004.407103052126,33947.683111820734,0.0006
32,0.0260348841547966,0.2038853280208011,0.05860982183367014,12405.66279231237,34716.435117417386,0.0006
33,0.02361002005636692,0.20201463844118944,0.05950849565366904,11813.819191941635,34556.80291320691,0.0006
34,0.024526430293917656,0.20741883476986822,0.05950958157579104,12040.91032185499,35015.975594665746,0.0006
35,0.018895847722887993,0.226486833586894,0.05064604679743449,10568.791431564863,36590.10164208318,0.0006
36,0.021456755697727203,0.2194606715738086,0.04696638944248358,11262.223952490976,36018.07414479057,0.0006
37,0.0186561718583107,0.21456324766956816,0.04684944047282139,10501.549847358398,35613.9219749336,0.0006
38,0.016837192699313164,0.21789764510590023,0.048021476405362286,9976.472018658362,35889.58232824071,0.0006
39,0.018881740048527718,0.19939334422648183,0.05513307141760985,10564.845242055899,34331.87040835084,0.0006
40,0.022123100236058235,0.20362533799461713,0.04710293095558882,11435.762505655724,34694.293244301494,0.0006
41,0.018177269026637077,0.2064210449156648,0.053197914424041905,10365.886918756225,34931.65175620504,0.0006
