epoch,train_loss
1,0.4867317598117025
2,0.27112937130426107
3,0.21020658000519402
4,0.18659014254808426
5,0.17581332298485855
6,0.16590421921328494
7,0.11883204822477542
8,0.13394502040586972
9,0.12942566977519737
10,0.12579229826989927
11,0.12087210306995794
12,0.09712914798996951
13,0.09263979212233894
14,0.0898730399969377
15,0.08544141563930009
16,0.08657829090952873
17,0.07808820707233328
18,0.09073954683385398
19,0.07709854919659465
20,0.07638118533711684
21,0.06635476472346406
22,0.06946144449083429
23,0.06983693453826402
24,0.0717390718820848
25,0.07139873132109642
26,0.0662500599497243
27,0.07224677012939203
28,0.0680714157458983
29,0.059979637692633425
30,0.0678963001425329
31,0.06503184786752651
32,0.055457867976082
33,0.06974146299456295
34,0.06393801313089698
35,0.05698384962191707
36,0.05813061044012245
37,0.05421669006739792
