epoch,train_loss,val_loss,batch_train_loss,train_rmse,val_rmse,learning_rate
1,0.26553022861480713,0.40060741328339566,0.6004582966367403,39618.59913673728,48663.30787836845,0.0008
2,0.14035144448280334,0.27620574069623466,0.28411515305439633,28803.851515595576,40407.17478414476,0.0008
3,0.11946285516023636,0.24994447811592063,0.20365357771515846,26574.099901896567,38438.276732432576,0.0008
4,0.09913492202758789,0.2306176185181912,0.16577248585720858,24207.80753817897,36922.26860060735,0.0008
5,0.08458250761032104,0.2514470792768786,0.14853685845931372,22360.546390013886,38553.64406123814,0.0008
6,0.07240867614746094,0.2333069474289731,0.1391251888126135,20688.901364748457,37136.92764806886,0.0008
7,0.06832266598939896,0.24264464888396192,0.1142849549651146,20096.689507960367,37872.80701657402,0.0008
8,0.05596267059445381,0.2528330910318393,0.10579149704426527,18188.267210525868,38659.754599185646,0.0008
9,0.05134084075689316,0.25124680009022093,0.1003655344247818,17421.021567894,38538.286892118296,0.0008
10,0.04176782816648483,0.2578397152173754,0.08289465587586164,15713.14385765553,39040.65022312631,0.0008
11,0.035830046981573105,0.2445341947532497,0.08158507539580266,14553.445798293136,38019.984435895116,0.0008
12,0.035108692944049835,0.23904131582409954,0.067484887316823,14406.20091873826,37590.54490495059,0.0008
13,0.02964053675532341,0.22115264468444953,0.06772052651892106,13236.865887046484,36156.65160138563,0.0008
14,0.026916978880763054,0.23268762627435238,0.065891042817384,12614.071351885617,37087.604280686115,0.0008
15,0.030089985579252243,0.2229473407378891,0.06572843870768945,13336.845836016983,36303.064235095444,0.0008
16,0.029689669609069824,0.24800153408134887,0.05877357597152392,13247.832177776118,38288.58523724337,0.0008
17,0.025979988276958466,0.2154516646503825,0.0613709424311916,12392.576349483388,35687.577013678165,0.0008
18,0.020451681688427925,0.22495097568245884,0.050359372360010944,10995.289060433168,36465.82776755876,0.0008
19,0.01985589787364006,0.21843743989777303,0.04942523781210184,10833.95173640036,35934.00921117183,0.0008
20,0.019287114962935448,0.19792476954232738,0.05123625369742513,10677.651921616742,34205.20596042793,0.0008
21,0.022137878462672234,0.20074580107252657,0.0445124936910967,11439.581630906383,34448.107746155656,0.0008
22,0.017795756459236145,0.21523111731423714,0.05464622347305218,10256.52802137832,35669.30652287799,0.0008
23,0.022427866235375404,0.22204137723364065,0.05050064499179522,11514.262190329318,36229.229016352794,0.0008
24,0.015022232197225094,0.23161632829928924,0.04757133933405081,9423.437995504097,37002.129790386505,0.0008
25,0.013991964049637318,0.21892433390132343,0.036960743057231106,9094.555288638503,35974.03512168561,0.0008
26,0.013491676189005375,0.20678318468247914,0.0394379332040747,8930.48620062225,34962.27992403081,0.0008
27,0.018842492252588272,0.2130246546942288,0.03939762090643247,10553.859767204602,35486.00184805242,0.0008
28,0.014049285091459751,0.22749680457530727,0.03708303440362215,9113.164874052896,36671.593872599005,0.0008
29,0.012929079122841358,0.2002308097214654,0.03654807868103186,8742.304577421004,34403.89294842325,0.0008
30,0.011499736458063126,0.19902371854472956,0.034986105747520924,8244.9134870987,34300.03427181662,0.0008
31,0.010619527660310268,0.21669852732456923,0.03299498495956262,7923.092632953742,35790.69367876252,0.0008
32,0.011427382938563824,0.21151351940072516,0.03264871689801415,8218.93472335267,35359.91412536271,0.0004
33,0.010195818729698658,0.21713369636711072,0.034201811999082565,7763.421798885056,35826.612682442,0.0004
34,0.009046781808137894,0.2051756593399914,0.03326071581492821,7312.892703644414,34826.116997376856,0.0004
