price_segment,count,rmse,mae,bias
Bajo,59,15659.879860802876,11383.114304463248,-9312.554265998146
Medio-bajo,58,12609.670197505515,8954.755745870016,-1809.5456296666384
Medio-alto,58,13067.157043384252,10311.053878708533,1592.8331619026585
Alto,59,31682.436194335038,24137.20418285242,14780.844957120331
